gml_id,ust_katego,alt_katego,ad,geojson
bursa_sanayinoktalari.140,SANAYİ,FABRİKALAR,SAYGI TEKSTİL,"{""type"":""Point"",""coordinates"":[28.929586757,40.235663501]}"
bursa_sanayinoktalari.141,SANAYİ,FABRİKALAR,PERKA,"{""type"":""Point"",""coordinates"":[28.932251097,40.233528244]}"
bursa_sanayinoktalari.142,SANAYİ,FABRİKALAR,BİRCE,"{""type"":""Point"",""coordinates"":[28.927860982,40.23794584]}"
bursa_sanayinoktalari.143,SANAYİ,FABRİKALAR,GÖZAÇMAZLAR,"{""type"":""Point"",""coordinates"":[28.934579992,40.243428717]}"
bursa_sanayinoktalari.144,SANAYİ,FABRİKALAR,İZMAKPAR,"{""type"":""Point"",""coordinates"":[28.93954912,40.235507359]}"
bursa_sanayinoktalari.145,SANAYİ,FABRİKALAR,BURSA ÇELİK,"{""type"":""Point"",""coordinates"":[28.934762626,40.234482808]}"
bursa_sanayinoktalari.146,SANAYİ,FABRİKALAR,POLİNER,"{""type"":""Point"",""coordinates"":[28.92838177,40.233735498]}"
bursa_sanayinoktalari.147,SANAYİ,FABRİKALAR,PRES PROSES,"{""type"":""Point"",""coordinates"":[28.928889214,40.243559183]}"
bursa_sanayinoktalari.148,SANAYİ,FABRİKALAR,CPM,"{""type"":""Point"",""coordinates"":[28.928885205,40.235381444]}"
bursa_sanayinoktalari.149,SANAYİ,FABRİKALAR,BUR-ER TEKSTİL,"{""type"":""Point"",""coordinates"":[28.92060055,40.241901133]}"
bursa_sanayinoktalari.150,SANAYİ,FABRİKALAR,GERA,"{""type"":""Point"",""coordinates"":[28.939498727,40.237000478]}"
bursa_sanayinoktalari.151,SANAYİ,FABRİKALAR,KAVSES,"{""type"":""Point"",""coordinates"":[28.931646859,40.246558011]}"
bursa_sanayinoktalari.152,SANAYİ,FABRİKALAR,ECS ELEKTRİK,"{""type"":""Point"",""coordinates"":[28.939675312,40.237498495]}"
bursa_sanayinoktalari.153,SANAYİ,FABRİKALAR,ETOSAN,"{""type"":""Point"",""coordinates"":[28.934476204,40.247013997]}"
bursa_sanayinoktalari.154,SANAYİ,FABRİKALAR,LEVENT TEKSTİL,"{""type"":""Point"",""coordinates"":[28.932886505,40.243766943]}"
bursa_sanayinoktalari.155,SANAYİ,FABRİKALAR,SMG OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.93881298,40.236074184]}"
bursa_sanayinoktalari.156,SANAYİ,FABRİKALAR,İNTERKAN,"{""type"":""Point"",""coordinates"":[28.928592426,40.233439549]}"
bursa_sanayinoktalari.157,SANAYİ,FABRİKALAR,STAR METAL,"{""type"":""Point"",""coordinates"":[28.934095445,40.23416711]}"
bursa_sanayinoktalari.158,SANAYİ,FABRİKALAR,KAYASAN OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.934503912,40.234338708]}"
bursa_sanayinoktalari.159,SANAYİ,FABRİKALAR,DEVİN,"{""type"":""Point"",""coordinates"":[28.941715113,40.237414767]}"
bursa_sanayinoktalari.160,SANAYİ,FABRİKALAR,ÇAĞSEV,"{""type"":""Point"",""coordinates"":[28.927608676,40.243286929]}"
bursa_sanayinoktalari.161,SANAYİ,FABRİKALAR,ERDEM ÇİNKO KAPLAMA,"{""type"":""Point"",""coordinates"":[28.926115247,40.244201388]}"
bursa_sanayinoktalari.162,SANAYİ,FABRİKALAR,AYTEK,"{""type"":""Point"",""coordinates"":[28.926837736,40.236836891]}"
bursa_sanayinoktalari.163,SANAYİ,FABRİKALAR,UZMAN KATAFOREZ,"{""type"":""Point"",""coordinates"":[28.934616698,40.231184984]}"
bursa_sanayinoktalari.164,SANAYİ,FABRİKALAR,YURTİÇİ KARGO,"{""type"":""Point"",""coordinates"":[28.932452104,40.237400642]}"
bursa_sanayinoktalari.165,SANAYİ,FABRİKALAR,İNCİ OTOMAT,"{""type"":""Point"",""coordinates"":[28.930167593,40.235901268]}"
bursa_sanayinoktalari.166,SANAYİ,FABRİKALAR,FOMPAK,"{""type"":""Point"",""coordinates"":[28.93085075,40.23360112]}"
bursa_sanayinoktalari.167,SANAYİ,FABRİKALAR,SİFF,"{""type"":""Point"",""coordinates"":[28.929789809,40.231695706]}"
bursa_sanayinoktalari.168,SANAYİ,FABRİKALAR,MEYİS,"{""type"":""Point"",""coordinates"":[28.928269687,40.239465892]}"
bursa_sanayinoktalari.169,SANAYİ,FABRİKALAR,MGI COUTIER,"{""type"":""Point"",""coordinates"":[28.925355675,40.245029676]}"
bursa_sanayinoktalari.170,SANAYİ,FABRİKALAR,İLERİ TEKNİK,"{""type"":""Point"",""coordinates"":[28.934231383,40.231766415]}"
bursa_sanayinoktalari.171,SANAYİ,FABRİKALAR,SKE KALIP,"{""type"":""Point"",""coordinates"":[28.935030994,40.24495353]}"
bursa_sanayinoktalari.172,SANAYİ,FABRİKALAR,DOGA,"{""type"":""Point"",""coordinates"":[28.933974438,40.243535598]}"
bursa_sanayinoktalari.173,SANAYİ,FABRİKALAR,EXPERT METAL,"{""type"":""Point"",""coordinates"":[28.93373219,40.236629901]}"
